Name,Age,Overall,Club,Value(£),Age_Group,Overall_Group,Log_Value,Age_Rating
L. Goretzka,0.8345933323468597,2.9405534192802336,FC Bayern München,11.25616722619294,26-30,81-90,2.2453276745265938,1.938783042737925
Bruno Fernandes,0.8345933323468597,2.816114033532632,Manchester United,9.661993727583143,26-30,81-90,2.177661898560869,1.87799866396659
M. Acuña,1.481188365508661,2.6916746477850304,Sevilla FC,5.580909571142069,31-35,81-90,1.9378627483514506,2.391288973591195
K. De Bruyne,1.6967200432292615,3.438310962270641,Manchester City,13.360476244357868,31-35,91-100,2.321635008916556,3.001384034592371
N. Barella,0.4035299769056588,2.816114033532632,Inter,11.064866406359764,26-30,81-90,2.2377162904188976,1.4907796584603088
J. Kimmich,0.8345933323468597,3.1894321907754373,FC Bayern München,13.105408484580302,26-30,81-90,2.3130349238845387,2.0603518002805945
D. Alaba,1.481188365508661,2.816114033532632,Real Madrid CF,6.7287144901411216,31-35,81-90,2.0188865851444144,2.4588271722260115
22 Paulinho,1.912251720949862,2.4427958762898268,Al Ahli,3.285299733143964,31-35,81-90,1.7136785148482288,2.62992394210088
E. Can,1.0501250100674602,2.318356490542225,Borussia Dortmund,3.5403674929215314,26-30,81-90,1.7447372663543632,1.8194655584830823
João Cancelo,1.0501250100674602,3.0649928050278357,Manchester City,10.172129247138278,26-30,81-90,2.200421417836348,2.1976794708380547
L. Pellegrini,0.6190616546262593,2.5672352620374284,Roma,6.66494755019673,26-30,81-90,2.0147422938284576,1.567322950246434
L. Modrić,2.7743784318322637,3.0649928050278357,Real Madrid CF,3.349066673088356,36-40,81-90,1.721642907894816,3.7825758654684147
S. Milinković-Savić,0.8345933323468597,2.816114033532632,Lazio,9.53445984769436,26-30,81-90,2.1717907788167916,1.87799866396659
Merino,0.6190616546262593,2.4427958762898268,Real Sociedad,5.644676511086461,26-30,81-90,1.9427605604238098,1.5087898447629264
Marcos Llorente,0.8345933323468597,2.5672352620374284,Atlético de Madrid,5.7722103909752445,26-30,81-90,1.9524017810250107,1.7564299064239204
R. De Paul,1.0501250100674602,2.5672352620374284,Atlético de Madrid,5.007007111642543,26-30,81-90,1.8912522731333286,1.9455368626014065
I. Perišić,2.1277833986704624,2.5672352620374284,Tottenham Hotspur,3.030231973366397,31-35,81-90,1.6803590192699032,2.891071643488837
F. de Jong,0.4035299769056588,2.9405534192802336,FC Barcelona,14.508281163356921,26-30,81-90,2.3584536657044595,1.5470614906559892
A. Griezmann,1.6967200432292615,2.4427958762898268,Atlético de Madrid,3.5403674929215314,31-35,81-90,1.7447372663543632,2.443068259211221
J. Cuadrado,2.343315076391063,2.4427958762898268,Juventus,1.37229153481221,31-35,81-90,1.3714983675597678,3.003635307880198
F. Kostić,1.2656566877880606,2.6916746477850304,Eintracht Frankfurt,6.409879790419162,26-30,81-90,1.9977795744338211,2.199930744125882
T. Alexander-Arnold,-0.027533378535542115,2.9405534192802336,Liverpool,12.467739085136383,21-25,81-90,2.2908004079419917,1.1553399385740537
L. Suárez,2.5588467541116633,2.5672352620374284,Club Nacional de Football,1.9461939943117363,36-40,81-90,1.5032397961004018,3.2692855558438096
